K,date,tickers,weight
11,2014-10-06,AXP,1.756062439155952e-05
11,2014-10-06,C,0.29521638927536303
11,2014-10-06,GOOGL,0.15105508160440123
11,2014-10-06,LOW,0.10051353826122482
11,2014-10-06,MMM,0.000837997184439796
11,2014-10-06,MO,0.19999081115686343
11,2014-10-06,SO,0.11547697291812561
11,2014-10-06,TMUS,0.02436886188490536
11,2014-10-06,TSLA,0.0876026013057723
11,2014-10-06,WFC,0.009234321462223503
11,2014-10-06,XOM,0.015685864322299473
11,2015-01-06,CL,0.0701908679699326
11,2015-01-06,GOOG,1.4154518733720204e-05
11,2015-01-06,HON,0.09700834692079181
11,2015-01-06,NEE,0.13099412175777012
11,2015-01-06,PFE,0.22948618713088578
11,2015-01-06,TMO,0.0652474534374204
11,2015-01-06,TXN,0.14501466930871568
11,2015-01-06,USB,0.11069019332932067
11,2015-01-06,V,0.15104333473301185
11,2015-01-06,VZ,5.052206648612683e-06
11,2015-01-06,XOM,0.00030561868677104684
